Protein	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722142047.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722202358.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722153152.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722213505.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722164251.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722224609.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722175352.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722235712.raw
Q15102	Q15102	PA1B3_HUMAN	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit gamma	208175	113807	99738.8	1.27E+06	1.06E+06	1.45E+06	172203	107488		971169	1.19E+06	1.07E+06
Q15118;Q15118-2	Q15118;Q15118-2	PDK1_HUMAN	PDK1	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"				252247	375230	464977	102000			196721	271952	
Q15120;Q15120-2	Q15120;Q15120-2	PDK3_HUMAN	PDK3	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	599256	525360	339419	569758	672266	611797	925096	498706	506609	645258	589914	423039
Q15149	Q15149;Q15149-2;Q15149-3;Q15149-4;Q15149-5;Q15149-6;Q15149-7;Q15149-8;Q15149-9	PLEC_HUMAN	PLEC	Plectin	2.63E+07	2.63E+07	2.65E+07	2.23E+06	2.22E+06	2.24E+06	1.95E+07	1.98E+07	1.99E+07	2.24E+06	2.23E+06	2.24E+06
Q15149-3	Q15149-2;Q15149-3	PLEC_HUMAN	PLEC	Isoform 3 of Plectin	1.10E+06	1.19E+06	1.05E+06				984971	1.03E+06	846432			
Q15154;Q15154-2	Q15154;Q15154-2	PCM1_HUMAN	PCM1	Pericentriolar material 1 protein	116011	172670	195677				161051		190475			
Q15181	Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	994149	1.02E+06	919725	2.01E+06	1.86E+06	2.00E+06	1.54E+06	1.37E+06	1.38E+06	2.27E+06	2.31E+06	2.15E+06
Q15185;Q15185-3;Q15185-4	Q15185;Q15185-2;Q15185-3;Q15185-4	TEBP_HUMAN	PTGES3	Prostaglandin E synthase 3	706153	497845	437568	869750	969419	976949	454720	569978	255804	836957	892137	961891
Q15208	Q15208	STK38_HUMAN	STK38	Serine/threonine-protein kinase 38	182937	296114	381917	441886	393903	457499	1.45E+06	1.52E+06	1.58E+06	538858	568401	624261
Q15233	Q15233;Q15233-2	NONO_HUMAN	NONO	Non-POU domain-containing octamer-binding protein	9.96E+06	9.86E+06	1.02E+07	6.16E+06	6.03E+06	6.28E+06	6.62E+06	6.33E+06	6.13E+06	1.03E+07	1.03E+07	1.01E+07
Q15257;Q15257-2;Q15257-3	Q15257;Q15257-2;Q15257-3	PTPA_HUMAN	PTPA	Serine/threonine-protein phosphatase 2A activator	76865.1		162301	728932	760297	744809	87731.5			633261	540914	770826
Q15286	Q15286;Q15286-2	RAB35_HUMAN	RAB35	Ras-related protein Rab-35	2.36E+06	2.22E+06	2.10E+06	2.45E+06	2.48E+06	2.35E+06	2.21E+06	2.36E+06	2.25E+06	1.87E+06	2.03E+06	2.03E+06
Q15287;Q15287-2;Q15287-3	Q15287;Q15287-2;Q15287-3	RNPS1_HUMAN	RNPS1	RNA-binding protein with serine-rich domain 1	1.07E+06	1.34E+06	1.01E+06	720198	602819	833036	1.07E+06	952716	989777	1.01E+06	1.21E+06	930974
Q15293	Q15293;Q15293-2	RCN1_HUMAN	RCN1	Reticulocalbin-1	1.70E+06	1.89E+06	1.82E+06	2.62E+06	2.72E+06	2.69E+06	4.31E+06	4.48E+06	4.34E+06	3.63E+06	3.53E+06	3.53E+06
Q15345	Q15345	LRC41_HUMAN	LRRC41	Leucine-rich repeat-containing protein 41	47908.6					159868		161511	152384			933494
Q15363	Q15363	TMED2_HUMAN	TMED2	Transmembrane emp24 domain-containing protein 2				1.09E+06	798429	1.09E+06	659108	134847	671658	656042	670109	690099
Q15365	Q15365	PCBP1_HUMAN	PCBP1	Poly(rC)-binding protein 1	2.06E+06	2.01E+06	1.98E+06	2.97E+06	3.45E+06	3.17E+06	1.54E+06	1.75E+06	1.75E+06	2.65E+06	2.70E+06	2.55E+06
Q15366-3;Q15366-4;Q15366-6;Q15366-7	Q15365;P57721;P57721-2;P57721-3;P57721-4;P57721-5;Q15366;Q15366-2;Q15366-3;Q15366-4;Q15366-5;Q15366-6;Q15366-7;Q15366-8	PCBP2_HUMAN	PCBP2	Isoform 3 of Poly(rC)-binding protein 2	8.00E+06	7.49E+06	7.35E+06	7.87E+06	8.10E+06	7.53E+06	4.96E+06	5.18E+06	4.79E+06	6.96E+06	6.40E+06	7.78E+06
Q15366;Q15366-2;Q15366-5;Q15366-8	Q15366;Q15366-2;Q15366-5;Q15366-8	PCBP2_HUMAN	PCBP2	Poly(rC)-binding protein 2	355406	290500	333219	190436								
Q15369	Q15369;Q15369-2	ELOC_HUMAN	ELOC	Elongin-C	1.53E+06	1.56E+06	1.54E+06	1.32E+06	1.47E+06	1.34E+06	5.03E+06	4.68E+06	4.19E+06	3.08E+06	3.12E+06	3.02E+06
Q15370;Q15370-2	Q15370;Q15370-2	ELOB_HUMAN	ELOB	Elongin-B	1.50E+06	1.43E+06	1.37E+06	1.12E+06	1.20E+06	1.10E+06	7.08E+06	6.82E+06	6.94E+06	4.24E+06	4.14E+06	3.94E+06
Q15382	Q15382	RHEB_HUMAN	RHEB	GTP-binding protein Rheb	1.10E+06	930386	1.23E+06	2.10E+06	3.28E+06	3.40E+06	1.88E+06	2.58E+06	2.16E+06	5.85E+06	5.96E+06	6.28E+06
Q15386	Q15386	UBE3C_HUMAN	UBE3C	Ubiquitin-protein ligase E3C	538801	617193	496786	470942	532781	475562	929526	925153	893304	850678	817245	833517
Q15390;Q15390-2	Q15390;Q15390-2	MTFR1_HUMAN	MTFR1	Mitochondrial fission regulator 1	941559	903389	1.22E+06			199273	1.01E+06	855311	956908	358112	261180	204526
Q15392;Q15392-2	Q15392;Q15392-2	DHC24_HUMAN	DHCR24	Delta(24)-sterol reductase	545503	762305	772562	974286	672876	601119	828326	819325	989796	1.06E+06	1.01E+06	1.34E+06
Q15393	Q15393;Q15393-3	SF3B3_HUMAN	SF3B3	Splicing factor 3B subunit 3	1.82E+06	1.77E+06	1.79E+06	3.17E+06	3.16E+06	3.01E+06	1.10E+06	931197	972093	2.16E+06	2.19E+06	2.18E+06
Q15404;Q15404-2	Q15404;Q15404-2	RSU1_HUMAN	RSU1	Ras suppressor protein 1				653621	582224	604149	743312		1.14E+06	1.13E+06	1.08E+06	1.55E+06
Q15417;Q15417-3	Q15417;Q15417-3;Q99439;Q99439-2	CNN3_HUMAN	CNN3	Calponin-3	722219	650841	626896	276148	247862	224996	349606	394603	371625	210658	212694	140914
Q15424;Q15424-2;Q15424-3;Q15424-4	Q15424;Q15424-2;Q15424-3;Q15424-4	SAFB1_HUMAN	SAFB	Scaffold attachment factor B1	1.00E+06	926252	767915	588227	499471	482179	517281	363231	583896	661939	737587	687523
Q15428	Q15428	SF3A2_HUMAN	SF3A2	Splicing factor 3A subunit 2	618745	634117	672416	1.04E+06	1.10E+06	1.14E+06	705052	746766	659326	939569	917528	931747
Q15436	Q15436;Q15436-2	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A	692002	923169	837870	1.85E+06	1.65E+06	1.88E+06	593138	735384	602537	1.65E+06	1.69E+06	1.62E+06
Q15437	Q15437	SC23B_HUMAN	SEC23B	Protein transport protein Sec23B	210209	245527	178262	462346	424085	399853	123086	133485	87453.6	365382	339072	427375
Q15459	Q15459	SF3A1_HUMAN	SF3A1	Splicing factor 3A subunit 1	295764	166320	372752	649546	652451	722063	326132	365292	315053	685800	774648	763490
Q15555;Q15555-3;Q15555-4;Q15555-5	Q15555;Q15555-3;Q15555-5;Q15555-4	MARE2_HUMAN	MAPRE2	Microtubule-associated protein RP/EB family member 2				142953	127068	131125				251404	264498	277239
Q155Q3	Q155Q3;Q155Q3-2	DIXC1_HUMAN	DIXDC1	Dixin	621986	498370	582736				356598	394608	386892	236314		
Q15637;Q15637-2;Q15637-3;Q15637-4;Q15637-5;Q15637-6	Q15637;Q15637-2;Q15637-3;Q15637-4;Q15637-5;Q15637-6	SF01_HUMAN	SF1	Splicing factor 1	1.01E+06	1.03E+06	932696	1.65E+06	1.61E+06	1.38E+06	936086	891230	876713	1.46E+06	1.36E+06	1.31E+06
Q15645	Q15645	PCH2_HUMAN	TRIP13	Pachytene checkpoint protein 2 homolog	2.30E+06	1.99E+06	2.26E+06	2.44E+06	2.43E+06	2.59E+06	4.18E+06	4.01E+06	3.90E+06	3.25E+06	3.22E+06	3.49E+06
Q15654	Q15654	TRIP6_HUMAN	TRIP6	Thyroid receptor-interacting protein 6	775290	797362	830936	480411	398328	393384	959917	767778	771376	691131	661272	556662
Q15717;Q15717-2	Q15717;Q15717-2	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1	1.79E+06	1.93E+06	1.86E+06	1.83E+06	1.86E+06	1.75E+06	1.49E+06	1.50E+06	1.22E+06	2.19E+06	2.03E+06	2.15E+06
Q15738	Q15738	NSDHL_HUMAN	NSDHL	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating"	172930	161776	194947	1.01E+06	1.15E+06	1.00E+06	240837	114848	228189	675108	695146	575845
Q15746;Q15746-2;Q15746-3;Q15746-4;Q15746-5;Q15746-6	Q15746;Q15746-2;Q15746-3;Q15746-4;Q15746-5;Q15746-6	MYLK_HUMAN	MYLK	"Myosin light chain kinase, smooth muscle"			450403	458160	508474	285193	778126	584350	357655	460777	432567	378091
Q15750;Q15750-2	Q15750;Q15750-2	TAB1_HUMAN	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	1.99E+06	1.60E+06	1.97E+06	1.06E+06	1.08E+06	458493	1.39E+06	337635	1.75E+06	387120	691287	137682
Q15758	Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	552940	678314	522119	2.25E+06	2.26E+06	2.00E+06	1.39E+06	1.40E+06	1.22E+06	2.39E+06	2.50E+06	2.31E+06
Q15773	Q15773	MLF2_HUMAN	MLF2	Myeloid leukemia factor 2	1.32E+06	1.17E+06	993134	1.10E+06	1.46E+06	980916	1.15E+06	1.09E+06	1.17E+06	1.08E+06	1.15E+06	1.17E+06
Q15785	Q15785	TOM34_HUMAN	TOMM34	Mitochondrial import receptor subunit TOM34				715749	765669	667601				593184	547891	694126
Q15819	Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	319652	517441	474954	2.95E+06	2.99E+06	2.72E+06				2.48E+06	2.25E+06	1.97E+06
Q15942;Q15942-2	Q15942;Q15942-2	ZYX_HUMAN	ZYX	Zyxin	816219	989876	799904	901284	857869	746629	478596	434061	449389	533230	366416	530273
Q16181;Q16181-2	Q16181;Q16181-2;Q6ZU15	SEPT7_HUMAN	7-Sep	Septin-7	1.38E+06	1.34E+06	1.53E+06	2.97E+06	3.06E+06	2.78E+06	332381	284370	454713	1.96E+06	2.02E+06	1.78E+06
Q16186	Q16186	ADRM1_HUMAN	ADRM1	Proteasomal ubiquitin receptor ADRM1	701465	792104	792128	1.36E+06	1.59E+06	1.26E+06	748866	552878	665699	1.23E+06	1.30E+06	1.27E+06
Q16204	Q16204	CCDC6_HUMAN	CCDC6	Coiled-coil domain-containing protein 6		344107		417920	231475	308006					211273	153365
Q16342;Q16342-3	Q16342;Q16342-2;Q16342-3;Q16342-4;Q16342-5	PDCD2_HUMAN	PDCD2	Programmed cell death protein 2	563048	537509	627759	365810	193812	317731	414489	460570	303801	477189	397770	478853
Q16352	Q16352	AINX_HUMAN	INA	Alpha-internexin	5.55E+06	5.84E+06	5.82E+06	212644	202223	288561	3.50E+06	3.52E+06	3.75E+06	668159	1.15E+06	689676
Q16513;Q16513-2	Q16513;Q16513-2;Q16513-4;Q16513-5	PKN2_HUMAN	PKN2	Serine/threonine-protein kinase N2	666759	663457	630862	1.03E+06	903882	1.08E+06	383871	186582	242161	538166	505533	508751
Q16526	Q16526	CRY1_HUMAN	CRY1	Cryptochrome-1	874712	803778	860673				484781	543514	639285			
Q16527	Q16527	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2	899591	951430	1.03E+06	290406	136891	266833	982523	1.06E+06	966619	431710	446714	322149
Q16531	Q16531	DDB1_HUMAN	DDB1	DNA damage-binding protein 1	1.63E+06	1.71E+06	1.69E+06	2.09E+06	2.01E+06	1.94E+06	2.83E+06	2.77E+06	2.97E+06	4.71E+06	4.81E+06	4.81E+06
Q16543	Q16543	CDC37_HUMAN	CDC37	Hsp90 co-chaperone Cdc37										95931.7	96521.4	
Q16576;Q16576-2	Q16576;Q16576-2	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7	3.55E+06	3.69E+06	3.22E+06	6.58E+06	6.47E+06	6.80E+06	5.22E+06	5.17E+06	4.92E+06	8.31E+06	7.74E+06	8.32E+06
Q16594;Q9HBM6	Q16594;Q9HBM6	TAF9B_HUMAN;TAF9_HUMAN	TAF9;TAF9B	Transcription initiation factor TFIID subunit 9	478498	437454		174053	195349		158514	241672	222176	163106	356426	
Q16626	Q16626	MEA1_HUMAN	MEA1	Male-enhanced antigen 1	243297						935901	901816	945656	338691	493776	399615
Q16629;Q16629-4	Q16629;Q16629-4	SRSF7_HUMAN	SRSF7	Serine/arginine-rich splicing factor 7	1.99E+06	2.15E+06	2.01E+06	2.33E+06	2.53E+06	2.17E+06	1.98E+06	1.71E+06	1.77E+06	3.25E+06	3.05E+06	2.98E+06
Q16630;Q16630-2;Q16630-3	Q16630;Q16630-2;Q16630-3	CPSF6_HUMAN	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	481035	282285	484531	467816	712825	709985		301373		421159	678884	973007
Q16637;Q16637-2;Q16637-3;Q16637-4	Q16637;Q16637-2;Q16637-3;Q16637-4	SMN_HUMAN	SMN1	Survival motor neuron protein	1.22E+06	929786	1.28E+06	541055	744776	508837	1.86E+06	1.71E+06	1.39E+06	998195	826474	827691
Q16643;Q16643-3	Q16643;Q16643-2;Q16643-3	DREB_HUMAN	DBN1	Drebrin	7.26E+07	7.21E+07	6.66E+07	671132	615492	485086	5.72E+07	5.52E+07	5.63E+07	1.47E+06	1.45E+06	1.45E+06
Q16658	Q16658	FSCN1_HUMAN	FSCN1	Fascin				275972	308346	297118				231569	192963	201637
Q16698;Q16698-2	Q16698;Q16698-2	DECR_HUMAN	DECR1	"2,4-dienoyl-CoA reductase, mitochondrial"	430975	467780	413620	387646	331006	386289	613517	552880	481848	339463	260162	319418
Q16718;Q16718-2	Q16718;Q16718-2	NDUA5_HUMAN	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	663706	702552	557589	769983	1.10E+06	610179	713409	878035	933238	948704	996884	759496
Q16740	Q16740	CLPP_HUMAN	CLPP	"ATP-dependent Clp protease proteolytic subunit, mitochondrial"												624854
Q16795	Q16795	NDUA9_HUMAN	NDUFA9	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial"	585345	234259		299886	319360	361989	552419	459988	638984	262628	286254	214033
Q16822	Q16822;Q16822-2	PCKGM_HUMAN	PCK2	"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial"	134754			581474	561321	481196	287177	170141	188699	695887	607167	670897
Q16850;Q16850-2	Q16850;Q16850-2	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase										113408		
Q16875;Q16875-2;Q16875-3;Q16875-4	Q16875;Q16875-2;Q16875-3;Q16875-4	F263_HUMAN	PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3"	1.14E+06	1.13E+06	1.26E+06	870490	726176	918998	753922	633673	756940	856053	868451	1.03E+06
Q16890;Q16890-2;Q16890-5	Q16890;Q16890-2;Q16890-5	TPD53_HUMAN	TPD52L1	Tumor protein D53				550374	479671	519646				685945		220009
Q16891;Q16891-2;Q16891-4	Q16891;Q16891-2;Q16891-3;Q16891-4	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	1.90E+06	1.75E+06	1.91E+06	4.15E+06	4.12E+06	4.15E+06	3.04E+06	3.00E+06	3.05E+06	4.71E+06	4.59E+06	4.37E+06
Q1KMD3	Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	745504	785983	743731	1.32E+06	1.31E+06	1.26E+06	644413	599343	556501	1.03E+06	1.07E+06	939156
Q27J81;Q27J81-2	Q27J81;Q27J81-2	INF2_HUMAN	INF2	Inverted formin-2	474636	544422	441113	387829	62611.3		364765	349186	415324	166725	87228.3	98820.1
Q29RF7	Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A		91214	53868.1	320117	421024	329967	159813	168950	140408	372341	409623	422124
Q2NL82	Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog	404291	585987	518462	574129	467183	568585	460879	366238	472367	526353	513173	549618
Q2TAY7	Q2TAY7	SMU1_HUMAN	SMU1	WD40 repeat-containing protein SMU1	849894	996886	830200	1.58E+06	1.51E+06	1.92E+06	670561	490220	573233	1.88E+06	1.76E+06	2.28E+06
Q32MZ4;Q32MZ4-2;Q32MZ4-3	Q32MZ4;Q32MZ4-2;Q32MZ4-3	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1	1.36E+06	1.56E+06	1.38E+06	574831	405740	225806	1.36E+06	1.33E+06	1.44E+06	317564		245031
Q32NB8	Q32NB8;Q32NB8-2;Q32NB8-3	PGPS1_HUMAN	PGS1	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial"	1.39E+06	1.32E+06	1.35E+06	498738	590983	640537	743435	715530	629560	596468	432705	368817
Q32P28;Q32P28-3;Q32P28-4	Q32P28;Q32P28-3;Q32P28-4	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1				768568	704895	960423		247196		846521	800768	816163
Q3MHD2;Q3MHD2-2	Q3MHD2;Q3MHD2-2	LSM12_HUMAN	LSM12	Protein LSM12 homolog	933725	846838	801056	982531	1.36E+06	1.18E+06	1.05E+06	911304	905966	823307	887819	911144
Q3MIR4;Q9NV96;Q9NV96-2;Q9NV96-3	Q9NV96;Q9NV96-2;Q9NV96-3;Q3MIR4	CC50A_HUMAN;CC50B_HUMAN	TMEM30A;TMEM30B	Cell cycle control protein 50B	392427	435965	489343	673461	820032	666130	488880	672361	562732	647811	539959	769129
Q3SY69	O75891;O75891-2;O75891-3;Q3SY69	AL1L2_HUMAN	ALDH1L2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	579933	716934	743073	558688	555598	569649	476018	472772	431447	440242	428052	442555
Q3V6T2;Q3V6T2-2;Q3V6T2-3;Q3V6T2-4	Q3V6T2;Q3V6T2-2;Q3V6T2-3;Q3V6T2-4;Q3V6T2-5	GRDN_HUMAN	CCDC88A	Girdin	327319	299580	358889	337799	409067		781066	582604	649590	420405	503693	563677
Q3ZCQ8;Q3ZCQ8-2	Q3ZCQ8;Q3ZCQ8-2;Q3ZCQ8-3	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50	1.94E+06	2.11E+06	2.20E+06	3.57E+06	3.50E+06	3.48E+06	6.06E+06	6.87E+06	7.31E+06	5.30E+06	5.61E+06	5.37E+06
Q4G0F5	Q4G0F5	VP26B_HUMAN	VPS26B	Vacuolar protein sorting-associated protein 26B		72704.9		229946	313017	288803				281330	273798	291082
Q4KMQ1	Q4KMQ1;Q4KMQ1-2;Q4KMQ1-3;Q4KMQ1-4	TPRN_HUMAN	TPRN	Taperin	1.34E+06	1.34E+06	1.33E+06		387985		538172	521145	554544			
Q4KMZ1;Q4KMZ1-2;Q4KMZ1-3	Q4KMZ1;Q4KMZ1-2;Q4KMZ1-3	IQCC_HUMAN	IQCC	IQ domain-containing protein C							240005	204740	266018		42800.9	
Q4VC31	Q4VC31	CCD58_HUMAN	CCDC58	Coiled-coil domain-containing protein 58				325093	478552	469276				138710	159054	190146
Q4VCS5	Q4VCS5	AMOT_HUMAN	AMOT	Angiomotin	3.20E+07	3.16E+07	3.08E+07	604554	490529	506972	8.46E+07	8.62E+07	8.36E+07	2.63E+07	2.73E+07	2.72E+07
Q52LJ0;Q52LJ0-2	Q52LJ0;Q52LJ0-2	FA98B_HUMAN	FAM98B	Protein FAM98B	4.21E+06	4.18E+06	4.06E+06	1.22E+06	1.22E+06	1.37E+06	2.14E+06	2.03E+06	2.28E+06	833391	938164	877122
Q53EZ4	Q53EZ4	CEP55_HUMAN	CEP55	Centrosomal protein of 55 kDa	300163	247406	334171	41517.3	83771.9	49790.9	270785	299997	284638	102043	178952	136227
Q53F19;Q53F19-2	Q53F19;Q53F19-2	NCBP3_HUMAN	NCBP3	Nuclear cap-binding protein subunit 3	80774.9	91994.8	139173	285099	394810	371810	112540	112112	80362.5	346099	340676	71070.8
Q53FA7	Q53FA7;Q53FA7-2	QORX_HUMAN	TP53I3	Quinone oxidoreductase PIG3	1.99E+06	2.04E+06	2.25E+06	234213	205085	225921	1.23E+06	1.07E+06	986449	686852		
Q53GQ0	Q53GQ0	DHB12_HUMAN	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase	2.09E+06	2.01E+06	1.79E+06	2.69E+06	2.94E+06	2.53E+06	2.32E+06	2.61E+06	2.37E+06	3.03E+06	2.79E+06	3.14E+06
Q53GS9	Q53GS9;Q53GS9-2	SNUT2_HUMAN	USP39	U4/U6.U5 tri-snRNP-associated protein 2				272711	221240	375963	64445.8	167321	153804	348431	283908	335160
Q53H12	Q53H12	AGK_HUMAN	AGK	"Acylglycerol kinase, mitochondrial"	6.65E+06	6.46E+06	6.95E+06	2.41E+06	2.37E+06	2.11E+06	1.13E+07	1.22E+07	1.26E+07	2.30E+06	2.32E+06	2.05E+06
Q53H96;Q53H96-2	Q53H96;Q53H96-2	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3	538494	612894	573607	888714	844100	792860	1.37E+06	1.39E+06	1.41E+06	1.37E+06	1.27E+06	1.26E+06
Q53HC9	Q53HC9	TSSC1_HUMAN	EIPR1	Protein TSSC1				449301	435013					510148	257718	
Q53TN4;Q53TN4-3	Q53TN4;Q53TN4-3	CYBR1_HUMAN	CYBRD1	Cytochrome b reductase 1	893636	641181	747258						425550			
Q562R1	Q562R1	ACTBL_HUMAN	ACTBL2	Beta-actin-like protein 2	7.40E+07	6.90E+07	6.63E+07	3.72E+06	3.00E+06	3.32E+06	3.32E+07	3.38E+07	2.95E+07	3.01E+06	3.11E+06	3.22E+06
Q58FF6	Q58FF6	H90B4_HUMAN	HSP90AB4P	Putative heat shock protein HSP 90-beta 4	145645	85060.9		239854	478413	301897	85935.1	101148	271281	307919	297077	161733
Q58FF8	Q58FF8	H90B2_HUMAN	HSP90AB2P	Putative heat shock protein HSP 90-beta 2	3.13E+06	3.29E+06	2.94E+06	7.28E+06	7.00E+06	6.37E+06	3.60E+06	3.03E+06	3.10E+06	5.96E+06	5.25E+06	4.60E+06
Q58WW2;Q58WW2-2;Q58WW2-3	Q58WW2;Q58WW2-2;Q58WW2-3;Q58WW2-4	DCAF6_HUMAN	DCAF6	DDB1- and CUL4-associated factor 6	400509	333046		772886	768118	1.18E+06	3.06E+06	3.19E+06	3.12E+06	8.35E+06	8.70E+06	7.95E+06
Q5BKZ1	Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326				148831	90851.9	88955.1				252108	244013	237822
Q5C9Z4	Q5C9Z4	NOM1_HUMAN	NOM1	Nucleolar MIF4G domain-containing protein 1	151508	192908	145319	388307	436513	365111	496313	518049	517673	539871	559136	544795
Q5D862	Q5D862	FILA2_HUMAN	FLG2	Filaggrin-2	470225	357780	309007	1.09E+06	991391	1.16E+06	572962	453994	554892	317203	168465	295509
Q5EBL8;Q5EBL8-2	Q5EBL8;Q5EBL8-2	PDZ11_HUMAN	PDZD11	PDZ domain-containing protein 11	1.80E+06	1.43E+06	1.95E+06	1.15E+06		1.52E+06	1.48E+06	1.25E+06	1.56E+06	1.74E+06	1.25E+06	1.35E+06
Q5H9R7;Q5H9R7-2;Q5H9R7-3;Q5H9R7-4;Q5H9R7-5;Q5H9R7-6	Q5H9R7;Q5H9R7-2;Q5H9R7-3;Q5H9R7-4;Q5H9R7-5;Q5H9R7-6	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	605208	550082	510350	712165	601643	703861	949467	1.10E+06	981468	951678	925127	990311
Q5HYI7;Q5HYI7-4;Q5HYI7-5	Q5HYI7;Q5HYI7-4;Q5HYI7-5	MTX3_HUMAN	MTX3	Metaxin-3	99475.6		90811.1	195516	159700	197258	363749	370017	357425	269187	282755	286607
Q5HYI8	Q5HYI8	RABL3_HUMAN	RABL3	Rab-like protein 3				775560	477207	907867		750710		773364	938586	1.09E+06
Q5HYK3	Q5HYK3	COQ5_HUMAN	COQ5	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	72759			150278	184850	222748	129925	129088	136103	122773	111613	135257
Q5JPH6;Q5JPH6-2	Q5JPH6;Q5JPH6-2	SYEM_HUMAN	EARS2	"Probable glutamate--tRNA ligase, mitochondrial"	972077	781613	899030	1.67E+06	1.52E+06	1.78E+06	2.00E+06	1.79E+06	2.18E+06	1.61E+06	1.56E+06	1.68E+06
Q5JRX3;Q5JRX3-2	Q5JRX3;Q5JRX3-2	PREP_HUMAN	PITRM1	"Presequence protease, mitochondrial"				414383	549211	435997			135164	395731	411464	470801
Q5JSZ5	Q5JSZ5	PRC2B_HUMAN	PRRC2B	Protein PRRC2B	1.62E+06	1.72E+06	1.70E+06	217542	167134	109123	793794	789790	826307	171894	140134	177030
